frame,dF_F
660,1.4191
661,1.2996
662,1.1813
663,1.1107
664,1.0055
665,0.8551
666,0.7878
667,0.7133
668,0.5595
669,0.5242
670,0.4826
671,0.2978
672,0.2482
673,0.218
674,0.0531
675,0.0224
676,0.0064
677,-0.1125
678,-0.2134
679,-0.1515
680,-0.1837
681,-0.312
682,-0.3317
683,-0.3219
684,-0.4146
685,-0.4615
686,-0.4952
687,-0.5712
688,-0.6156
689,-0.5919
690,-0.6494
691,-0.69
692,-0.6958
693,-0.745
694,-0.6956
695,-0.5334
696,-0.548
697,0.0773
698,1.7147
699,2.7062
700,2.7898
701,2.6325
702,2.7793
703,2.7727
704,2.4949
705,2.3099
706,2.1329
707,1.9061
708,1.7122
709,2.3194
710,3.3998
711,3.485
712,3.5886
713,3.4824
714,3.8207
715,4.9549
716,4.4235
717,4.3193
718,4.2529
719,3.9344
720,3.8151
721,3.6233
722,3.3206
723,3.0062
724,2.7346
725,2.5427
726,2.4883
727,3.0877
728,3.0575
729,2.8604
730,2.5825
731,2.3136
732,2.1552
733,2.0259
734,1.7943
735,1.618
736,1.477
737,1.34
738,1.1624
739,1.1199
740,1.014
741,0.8935
742,0.8235
743,0.7517
744,0.6318
745,0.5002
746,0.4612
747,0.381
748,0.2213
749,0.1149
750,0.072
751,-0.0259
752,-0.0372
753,-0.0784
754,-0.2789
755,-0.3341
756,-0.3083
757,-0.3973
758,-0.4653
759,-0.5217
760,-0.633
761,-0.5292
762,-0.5607
763,-0.7062
764,-0.7333
765,-0.612
766,0.0416
767,1.2654
768,1.448
769,1.6746
770,1.5625
771,1.388
772,1.1021
773,0.9858
774,0.7788
775,0.5851
776,0.4661
777,0.2038
778,0.0358
779,-0.1674
780,-0.3618
781,-0.3657
782,-0.4638
783,-0.5155
784,-0.6067
785,-0.7582
786,-0.7744
787,-0.8164
788,-0.9442
789,-1.0596
790,-0.9613
791,0.0702
792,-0.1582
793,-0.3223
794,-0.3652
795,-0.4746
796,-0.6067
797,-0.7254
798,-0.7874
799,-0.9096
800,-1.0186
801,-1.064
802,-1.1048
803,-1.1518
804,-1.229
805,-1.3419
806,-1.4945
807,-1.5979
808,-1.6632
809,-1.746
810,-1.8723
811,-1.8598
812,-1.7951
813,-1.7719
814,-1.5222
815,-1.1174
816,-0.8461
817,-0.7159
818,-0.7208
819,-0.6959
820,-0.6307
821,-0.0453
822,0.4166
823,0.2289
824,-0.1222
825,-0.3833
826,-0.6288
827,-1.3189
828,-1.3324
829,-1.2153
830,-0.9645
831,-0.8059
832,-0.7937
833,-0.3254
834,0.4543
835,1.2672
836,1.7461
837,2.2379
838,2.7486
839,3.3013
840,3.5849
841,3.9252
842,4.617
843,5.0288
844,5.047
845,5.0577
846,4.9616
847,4.8605
848,5.3758
849,5.8655
850,6.4109
851,6.6304
852,6.8872
853,7.2083
854,7.1093
855,7.1623
856,7.4077
857,7.477
858,7.4741
859,7.5001
860,7.3796
861,7.434
862,7.6496
863,7.6062
864,7.4609
865,7.3067
866,7.079
867,7.0104
868,6.7788
869,6.5969
870,6.5115
871,6.3264
872,6.1423
873,6.211
874,6.2471
875,6.4323
876,6.3264
877,6.3388
878,6.2484
879,6.1952
880,6.0798
881,6.0927
882,6.182
883,6.4921
884,6.648
885,6.598
886,6.5809
887,6.7613
