frame,dF_F
618,-0.4193
619,-0.2565
620,-0.3459
621,-0.2793
622,-0.1861
623,-0.1905
624,-0.3389
625,-0.3527
626,-0.4637
627,-0.5879
628,-0.5858
629,-0.6219
630,-0.7139
631,-0.7631
632,-0.6887
633,-0.7618
634,-0.907
635,-0.801
636,-0.1605
637,1.586
638,2.7093
639,3.4194
640,3.2659
641,3.7389
642,4.15
643,4.1333
644,3.8601
645,3.9894
646,3.6097
647,3.1628
648,2.7091
649,2.3017
650,1.9742
651,1.7477
652,1.3276
653,0.9612
654,0.8878
655,0.5197
656,0.3154
657,0.3037
658,0.1416
659,-0.1018
660,-0.1996
661,-0.2246
662,-0.368
663,-0.468
664,-0.4643
665,-0.5559
666,-0.6988
667,-0.7038
668,-0.8396
669,-0.8826
670,-0.8846
671,-1.0146
672,-0.9865
673,-1.001
674,-1.0963
675,-0.9548
676,-1.0157
677,-1.0551
678,-0.9433
679,-1.0748
680,-0.9703
681,-0.7396
682,-0.9333
683,-0.923
684,-1.0151
685,-1.1504
686,-1.0816
687,-1.1365
688,-1.1535
689,-1.1323
690,-0.9356
691,0.278
692,2.2746
693,4.0067
694,5.0197
695,4.0112
696,3.6615
697,2.8758
698,3.0237
699,2.5753
700,2.3714
701,2.4707
702,2.0523
703,1.4909
704,1.2007
705,0.9845
706,0.9265
707,1.4685
708,1.1095
709,0.7013
710,0.5738
711,0.3768
712,0.2901
713,0.3902
714,0.3861
715,0.2261
716,-0.0162
717,-0.2464
718,-0.3901
719,-0.2958
720,-0.5135
721,-0.5027
722,-0.6501
723,-0.7751
724,-0.8237
725,-0.9308
726,-0.9679
727,-1.0665
728,-1.0384
729,-1.1742
730,-1.1406
731,-1.0766
732,-1.1008
733,-1.1768
734,-1.2903
735,-1.2944
736,-1.2364
737,-1.1261
738,-0.6114
739,-0.3688
740,-0.3961
741,-0.1604
742,0.3569
743,0.9696
744,0.9482
745,0.9825
746,0.629
747,0.5414
748,0.3122
749,0.0085
750,-0.0164
751,-0.3299
752,-0.3804
753,-0.4035
754,-0.5533
755,-0.5401
756,-0.7122
757,-0.7638
758,-0.8816
759,-1.04
760,-1.0392
761,-1.2023
762,-1.2435
763,-1.2721
764,-1.4024
765,-1.4057
766,-1.4792
767,-1.4963
768,-1.4873
769,-1.5785
770,-1.5506
771,-1.5952
772,-1.6671
773,-1.6145
774,-1.6923
775,-1.6894
776,-1.6862
777,-1.7713
778,-1.7271
779,-1.7971
780,-1.828
781,-1.757
782,-1.9258
783,-1.893
784,-1.9075
785,-2.0285
786,-1.9033
787,-2.0052
788,-2.015
789,-1.852
790,-2.0016
791,-1.9852
792,-1.9287
793,-2.0487
794,-1.9246
795,-2.0334
796,-2.0716
797,-2.0325
798,-2.1246
799,-2.0628
800,-2.0849
801,-2.1437
802,-2.1129
803,-2.1649
804,-2.1326
805,-2.1804
806,-2.21
807,-2.1685
808,-2.2637
809,-2.1938
810,-2.2173
811,-2.2684
812,-2.1709
813,-2.2544
814,-2.2149
815,-2.2168
816,-2.3123
817,-2.1824
818,-2.2593
819,-2.2676
820,-2.2047
821,-2.3401
822,-2.2409
823,-2.2939
824,-2.3782
825,-2.26
826,-2.331
827,-2.2882
828,-2.3009
829,-2.3679
830,-2.2914
831,-2.3244
832,-2.3096
833,-2.3346
834,-2.3905
835,-2.3287
836,-2.3841
837,-2.3329
838,-2.3681
839,-2.4442
840,-2.3534
841,-2.451
842,-2.429
843,-2.3801
844,-2.5069
845,-2.4002
846,-2.4338
847,-2.4917
848,-2.3233
849,-2.4696
850,-2.4512
851,-2.3788
852,-2.5047
853,-2.391
854,-2.4373
855,-2.518
856,-2.3924
857,-2.4764
858,-2.449
859,-2.4221
860,-2.5246
861,-2.4503
862,-2.4714
863,-2.4835
864,-2.3125
865,-2.26
866,-2.1926
867,-1.7522
868,-1.7819
869,-1.8103
870,-1.8571
871,-1.812
872,-1.7762
873,-1.8688
874,-1.6643
875,-1.7925
876,-1.7913
877,-1.6951
878,-0.8457
879,1.7962
880,4.663
881,4.6077
882,3.1202
883,2.2331
884,3.4684
885,2.6138
886,1.834
887,1.6317
888,1.1581
889,0.7537
890,0.3602
891,-0.0244
892,-0.1465
893,-0.4035
894,-0.6078
895,-0.7321
896,-0.9773
897,-1.0386
898,-1.1225
899,-1.3063
900,-1.305
901,-1.4145
902,-1.5761
903,-1.5194
904,-1.5962
905,-1.6802
906,-1.6651
907,-1.7774
908,-1.8235
909,-1.8077
910,-1.9371
911,-1.9071
912,-1.9262
913,-1.964
914,-1.7731
915,-1.7849
916,-1.8005
917,-1.8998
918,-1.9598
919,-1.9202
920,-2.0323
921,-2.0051
922,-1.9963
923,-2.1647
924,-2.1302
925,-2.2204
926,-2.2673
927,-2.1619
928,-2.3423
929,-2.3068
930,-2.27
931,-2.4247
932,-2.3283
933,-2.3862
934,-2.5043
935,-2.3507
936,-2.4906
937,-2.5601
938,-2.3911
939,-2.5519
940,-2.5671
941,-2.45
942,-2.6198
943,-2.5778
944,-2.4989
945,-2.6427
946,-2.559
947,-2.5626
948,-2.5064
949,-2.2611
950,-2.1612
951,-2.3455
952,-2.1955
953,-2.2417
954,-2.3395
955,-2.213
956,-2.323
957,-2.0263
958,-1.9535
959,-2.0548
960,-1.1587
961,1.0409
962,1.7354
963,3.1807
964,2.3919
965,2.593
966,3.9757
967,5.1307
968,3.6407
969,2.5394
970,2.2241
971,2.3042
972,2.7943
973,2.2457
