Typical Measured Spectrum of Semrock FF01-524/628 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
425.2	3.6581e-08
425.4	3.8959e-08
425.6	4.1491e-08
425.8	4.4188e-08
426.0	4.706e-08
426.2	5.0119e-08
426.4	5.2572e-08
426.6	5.2481e-08
426.8	5.239e-08
427.0	5.2299e-08
427.2	5.2209e-08
427.4	5.2119e-08
427.6	5.2029e-08
427.8	5.1939e-08
428.0	5.1849e-08
428.2	5.1759e-08
428.4	5.2142e-08
428.6	5.6333e-08
428.8	6.0862e-08
429.0	6.5755e-08
429.2	7.1041e-08
429.4	7.6752e-08
429.6	8.2922e-08
429.8	8.9588e-08
430.0	9.679e-08
430.2	1.0457e-07
430.4	1.1298e-07
430.6	9.306e-08
430.8	7.6549e-08
431.0	6.2967e-08
431.2	5.1796e-08
431.4	4.2606e-08
431.6	3.5047e-08
431.8	2.8829e-08
432.0	2.3714e-08
432.2	1.9507e-08
432.4	1.6046e-08
432.6	1.3199e-08
432.8	1.0857e-08
433.0	9.8466e-09
433.2	9.8459e-09
433.4	9.8453e-09
433.6	9.8446e-09
433.8	9.8439e-09
434.0	9.8433e-09
434.2	9.8426e-09
434.4	9.8419e-09
434.6	9.8412e-09
434.8	9.8406e-09
435.0	9.1302e-09
435.2	9.1149e-09
435.4	9.0995e-09
435.6	9.0842e-09
435.8	9.0689e-09
436.0	9.0537e-09
436.2	9.0384e-09
436.4	9.0232e-09
436.6	9.008e-09
436.8	8.9929e-09
437.0	9.0122e-09
437.2	1.3192e-08
437.4	1.931e-08
437.6	2.8266e-08
437.8	4.1375e-08
438.0	6.0564e-08
438.2	8.8652e-08
438.4	1.2977e-07
438.6	1.8995e-07
438.8	2.7805e-07
439.0	4.07e-07
439.2	3.7967e-07
439.4	3.35e-07
439.6	2.9558e-07
439.8	2.608e-07
440.0	2.3012e-07
440.2	2.0304e-07
440.4	1.7915e-07
440.6	1.5807e-07
440.8	1.3947e-07
441.0	1.2306e-07
441.2	1.1647e-07
441.4	1.1257e-07
441.6	1.0879e-07
441.8	1.0515e-07
442.0	1.0162e-07
442.2	9.8219e-08
442.4	9.4927e-08
442.6	9.1745e-08
442.8	8.8671e-08
443.0	8.5699e-08
443.2	7.8232e-08
443.4	6.9255e-08
443.6	6.1308e-08
443.8	5.4273e-08
444.0	4.8045e-08
444.2	4.2532e-08
444.4	3.7652e-08
444.6	3.3331e-08
444.8	2.9506e-08
445.0	2.6121e-08
445.2	2.5775e-08
445.4	2.5434e-08
445.6	2.5097e-08
445.8	2.4765e-08
446.0	2.4437e-08
446.2	2.4114e-08
446.4	2.3795e-08
446.6	2.348e-08
446.8	2.3169e-08
447.0	2.2862e-08
447.2	1.8749e-08
447.4	1.5273e-08
447.6	1.2441e-08
447.8	1.0135e-08
